PO_NUMBER,INVOICE_ID,INVOICE_NUM,SOURCE,INV_LINE_NUMBER,ACCOUNT_CODE,COMPANY_CODE,MIC,INVOICE_DATE,INVOICE_AMOUNT,TRAN_AMOUNT,EXTC,STATE,VENDOR_NAME,INVOICE_FR,FINAL_DESCRIPTION,PROJ_NUM,TAX_AMOUNT,TAX_TYPE,ACCOUNTING_DATE,NORAD_FLAG,DRIVERID,invoice_month,invoice_year
null,349468131,ERP0000079892064,71ERPAP,1,4130.55,SS00,,2023-01-16,2.4100000000,2,CYD,GA,FOR CUSTOMER,3494681311,Current Liab-Refunds-CAPM ERP-AP Clearing | Corporate Entry - Other,,null,,2023-01-31,N,null,2023-01,2023
null,349468148,ERP0000079876732,71ERPAP,1,4130.55,SS00,,2023-01-14,8.2600000000,8,CYD,GA,FOR CUSTOMER,3494681481,Current Liab-Refunds-CAPM ERP-AP Clearing | Corporate Entry - Other,,null,,2023-01-31,N,null,2023-01,2023
null,349468357,ERP0000079892230,71ERPAP,1,4130.55,SS00,,2023-01-16,47.3500000000,47,CYD,GA,FOR CUSTOMER,3494683571,Current Liab-Refunds-CAPM ERP-AP Clearing | Corporate Entry - Other,,null,,2023-01-31,N,null,2023-01,2023
null,349468578,ERP0000079876920,71ERPAP,1,4130.55,SS00,,2023-01-14,75.4800000000,75,CYD,GA,FOR CUSTOMER,3494685781,Current Liab-Refunds-CAPM ERP-AP Clearing | Corporate Entry - Other,,null,,2023-01-31,N,null,2023-01,2023
null,349468598,310799913        292130,ENGIEW,1,6531.60M,AQ00,,2023-01-06,22.4800000000,22,5B1,IL,ENGIE INSIGHT SERVICES INC>,3494685981,Power Expense | Transmission Energy - Central Office,,null,,2023-01-31,N,null,2023-01,2023
null,349468667,ERP0000079894132,71ERPAP,1,4130.55,SS00,,2023-01-16,11.4800000000,11,CYD,GA,FOR CUSTOMER,3494686671,Current Liab-Refunds-CAPM ERP-AP Clearing | Corporate Entry - Other,,null,,2023-01-31,N,null,2023-01,2023
null,349468772,ERP0000079894144,71ERPAP,1,4130.55,SS00,,2023-01-16,58.8000000000,59,CYD,GA,FOR CUSTOMER,3494687721,Current Liab-Refunds-CAPM ERP-AP Clearing | Corporate Entry - Other,,null,,2023-01-31,N,null,2023-01,2023
null,349468788,ERP0000079875899,71ERPAP,1,4130.55,SS00,,2023-01-14,26.7700000000,27,CYD,GA,FOR CUSTOMER,3494687881,Current Liab-Refunds-CAPM ERP-AP Clearing | Corporate Entry - Other,,null,,2023-01-31,N,null,2023-01,2023
null,349468894,ERP0000079902553,71ERPAP,1,4130.55,SS00,,2023-01-17,45.2200000000,45,CYD,GA,FOR CUSTOMER,3494688941,Current Liab-Refunds-CAPM ERP-AP Clearing | Corporate Entry - Other,,null,,2023-01-31,N,null,2023-01,2023
null,349469042,ERP0000079897163,71ERPAP,1,4130.55,SS00,,2023-01-16,3.1600000000,3,CYD,GA,FOR CUSTOMER,3494690421,Current Liab-Refunds-CAPM ERP-AP Clearing | Corporate Entry - Other,,null,,2023-01-31,N,null,2023-01,2023
null,349469226,310800013        292706,ENGIEW,1,6531.60M,AQ00,,2023-01-06,29.8600000000,30,5B1,IL,ENGIE INSIGHT SERVICES INC>,3494692261,Power Expense | Transmission Energy - Central Office,,null,,2023-01-31,N,null,2023-01,2023
null,349469237,ERP0000079902607,71ERPAP,1,4130.55,SS00,,2023-01-17,28.3700000000,28,CYD,GA,FOR CUSTOMER,3494692371,Current Liab-Refunds-CAPM ERP-AP Clearing | Corporate Entry - Other,,null,,2023-01-31,N,null,2023-01,2023
null,349469344,310800034        292833,ENGIEW,1,6531.60M,AQ00,,2023-01-06,26.0800000000,26,5B1,IL,ENGIE INSIGHT SERVICES INC>,3494693441,Power Expense | Transmission Energy - Central Office,,null,,2023-01-31,N,null,2023-01,2023
null,349469347,ERP0000079892541,71ERPAP,1,4130.55,SS00,,2023-01-16,78.3400000000,78,CYD,GA,FOR CUSTOMER,3494693471,Current Liab-Refunds-CAPM ERP-AP Clearing | Corporate Entry - Other,,null,,2023-01-31,N,null,2023-01,2023
null,349469589,97948,SCM,1,2003.477C,XQTK,COEOTHER,2023-01-12,76.1400000000,72,460,KS,TELAMON CORPORATION EDI>9B,3494695891,Tele PUC - Digital Electronic Switching-Packet Switching | Contract Engineering & Drafting (Excl Installation),A02GZLV,null,,2023-01-31,N,null,2023-01,2023
null,349469962,AL00031857,SCM,1,6998.5003,3012,,2023-01-13,112.0000000000,112,9M1,GA,APPLE INC,3494699621,COGS - Accessories/Pagers | Wireless COGS-Equipment,,null,,2023-01-31,N,null,2023-01,2023
null,349469977,AL00070197,SCM,1,6998.5003,3012,,2023-01-13,112.0000000000,112,9M1,GA,APPLE INC,3494699771,COGS - Accessories/Pagers | Wireless COGS-Equipment,,null,,2023-01-31,N,null,2023-01,2023
null,349470187,ERP0000079894210,71ERPAP,1,4130.55,SS00,,2023-01-16,141.5900000000,142,CYD,GA,FOR CUSTOMER,3494701871,Current Liab-Refunds-CAPM ERP-AP Clearing | Corporate Entry - Other,,null,,2023-01-31,N,null,2023-01,2023
